siteID,projectID,sampleID,trailerCountID,trailerID,vehiclePresent,trailerNum,notes,wisconsinPlates,heavyWind,heavyRain,heavyClouds,enteredBy,comments,metadataID,entryFile
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1408_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_14:08_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,Arrival count; 1 DNR vehicle,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1408_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_14:08_CR_fishscapesCreel.Instantaneous.20190617_2,1,2,Arrival count; 1 DNR vehicle,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1408_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_14:08_CR_fishscapesCreel.Instantaneous.20190617_3,1,3,Arrival count; 1 DNR vehicle,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1500_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_15:00_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1500_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_15:00_CR_fishscapesCreel.Instantaneous.20190617_2,1,2,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1600_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_16:00_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1600_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_16:00_CR_fishscapesCreel.Instantaneous.20190617_2,1,2,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1600_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_16:00_CR_fishscapesCreel.Instantaneous.20190617_3,1,3,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1600_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_16:00_CR_fishscapesCreel.Instantaneous.20190617_4,1,4,,0,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1702_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_17:02_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1702_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_17:02_CR_fishscapesCreel.Instantaneous.20190617_2,1,2,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1702_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_17:02_CR_fishscapesCreel.Instantaneous.20190617_3,1,3,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1702_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_17:02_CR_fishscapesCreel.Instantaneous.20190617_4,1,4,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1702_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_17:02_CR_fishscapesCreel.Instantaneous.20190617_5,1,5,,0,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1800_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_18:00_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1800_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_18:00_CR_fishscapesCreel.Instantaneous.20190617_2,1,2,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1800_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_18:00_CR_fishscapesCreel.Instantaneous.20190617_3,1,3,,0,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_boatLaunch,37,AQ_boatLaunch_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_1900_CR_fishscapesCreel.Instantaneous.20190617,AQ_boatLaunch_20190617_19:00_CR_fishscapesCreel.Instantaneous.20190617_1,1,1,,1,0,0,0,AT,Arrived late after trying Rainbow Lake,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
